system:index,oid,B1,B2,B3,B4,B5,B6,B7,sr_atmos_opacity
LT04_187022_19880515_23,153220120,372.0,594.0,517.0,997.0,850.0,2930.0,549.0,181.0
LT04_187022_19880515_25,153230040,286.0,423.0,275.0,803.0,402.0,2947.0,282.0,103.0
LT04_187022_19880515_26,153230050,397.0,582.0,440.0,2094.0,1395.0,2947.0,658.0,102.0
LT04_187022_19880515_35,154220070,330.0,535.0,364.0,1085.0,800.0,2917.0,360.0,144.0
LT04_187022_19880515_36,154220080,241.0,335.0,232.0,485.0,298.0,2939.0,208.0,140.0
LT04_187022_19880515_37,154230020,279.0,338.0,236.0,368.0,245.0,2956.0,95.0,120.0
LT04_187022_19890603_25,153230040,490.0,508.0,377.0,1289.0,698.0,2921.0,311.0,385.0
LT04_187022_19890603_26,153230050,490.0,637.0,448.0,2244.0,1100.0,2926.0,502.0,385.0
LT04_187022_19890603_35,154220070,530.0,679.0,442.0,2055.0,729.0,2900.0,196.0,412.0
LT04_187022_19890603_36,154220080,489.0,605.0,383.0,1045.0,298.0,2917.0,119.0,386.0
LT04_187022_19890603_37,154230020,494.0,553.0,413.0,871.0,297.0,2926.0,196.0,385.0
LT04_187022_19900622_34,154220020,710.0,896.0,672.0,3898.0,1687.0,2913.0,848.0,850.0
LT04_187022_19900622_35,154220070,829.0,925.0,617.0,1997.0,727.0,2921.0,309.0,787.0
LT04_187022_19920713_36,154220080,649.0,718.0,550.0,880.0,277.0,2951.0,135.0,231.0
LT04_187022_19920713_37,154230020,732.0,1127.0,860.0,1134.0,500.0,2964.0,375.0,232.0
LT04_187022_19920729_25,153230040,550.0,552.0,482.0,1588.0,598.0,2913.0,382.0,175.0
LT04_187022_19920729_26,153230050,570.0,594.0,589.0,2357.0,1051.0,2917.0,546.0,176.0
LT04_187022_19920729_36,154220080,845.0,902.0,772.0,951.0,487.0,2921.0,140.0,191.0
LT04_187022_19920830_23,153220120,755.0,831.0,656.0,1415.0,614.0,2947.0,261.0,343.0
LT04_187022_19920830_25,153230040,811.0,793.0,623.0,1463.0,787.0,2943.0,360.0,407.0
LT04_187022_19920830_26,153230050,756.0,850.0,669.0,2079.0,1209.0,2951.0,512.0,408.0
LT04_187022_19920830_34,154220020,688.0,823.0,692.0,2714.0,1858.0,2939.0,978.0,385.0
LT04_187022_19920830_36,154220080,861.0,940.0,685.0,1064.0,542.0,2934.0,310.0,506.0
LT04_187022_19920830_37,154230020,800.0,861.0,634.0,962.0,436.0,2939.0,209.0,393.0
LT04_187023_19880515_20,153210130,294.0,387.0,378.0,636.0,453.0,2926.0,245.0,193.0
LT04_187023_19880515_21,153210200,370.0,469.0,344.0,1242.0,745.0,2908.0,397.0,188.0
LT04_187023_19880515_22,153220050,344.0,517.0,352.0,839.0,560.0,2917.0,206.0,170.0
LT04_187023_19880515_23,153220120,395.0,635.0,517.0,1080.0,904.0,2930.0,587.0,180.0
LT04_187023_19880515_24,153220190,354.0,483.0,458.0,639.0,558.0,2951.0,433.0,147.0
