system:index,oid,B1,B2,B3,B4,B5,B6,B7,sr_atmos_opacity
LT05_188022_19970523_24,153220190,326.0,621.0,497.0,1037.0,597.0,2855.0,454.0,41.0
LT05_188022_19970523_32,154210040,358.0,512.0,372.0,581.0,288.0,2831.0,165.0,140.0
LT05_188022_19970523_33,154210060,335.0,469.0,405.0,1698.0,1044.0,2841.0,571.0,144.0
LT05_188022_19970523_34,154220020,423.0,704.0,628.0,3314.0,1675.0,2865.0,929.0,57.0
LT05_188022_19970523_35,154220070,259.0,467.0,339.0,1044.0,474.0,2841.0,239.0,41.0
LT05_188022_19970523_36,154220080,249.0,392.0,279.0,449.0,270.0,2836.0,167.0,29.0
LT05_188022_19970811_17,153200140,489.0,706.0,481.0,1551.0,564.0,2924.0,228.0,184.0
LT05_188022_19970811_19,153210110,453.0,696.0,511.0,2510.0,1092.0,2924.0,520.0,189.0
LT05_188022_19970811_20,153210130,374.0,517.0,369.0,2194.0,1118.0,2924.0,436.0,167.0
LT05_188022_19970811_23,153220120,445.0,657.0,445.0,2097.0,823.0,2924.0,351.0,158.0
LT05_188022_19970811_24,153220190,397.0,655.0,481.0,919.0,470.0,2924.0,308.0,154.0
LT05_188022_19970811_25,153230040,372.0,394.0,273.0,965.0,355.0,2911.0,103.0,123.0
LT05_188022_19970811_26,153230050,351.0,485.0,420.0,1783.0,993.0,2915.0,473.0,123.0
LT05_188022_19970811_32,154210040,373.0,470.0,331.0,528.0,327.0,2929.0,143.0,177.0
LT05_188022_19970811_33,154210060,355.0,474.0,447.0,1373.0,830.0,2929.0,438.0,170.0
LT05_188022_19970811_34,154220020,459.0,715.0,602.0,3316.0,1911.0,2933.0,937.0,145.0
LT05_188022_19970811_35,154220070,370.0,497.0,392.0,1580.0,621.0,2920.0,353.0,114.0
LT05_188022_19970811_36,154220080,341.0,447.0,277.0,668.0,182.0,2920.0,144.0,129.0
LT05_188022_19970811_37,154230020,370.0,437.0,307.0,750.0,414.0,2920.0,144.0,133.0
