"";"oid";"B1";"B2";"B3";"B4";"B5";"B6";"B7";"sensor";"date";"areosols"
"1";153220120;372;594;517;997;850;293;549;"L4";1988-05-15;"medium"
"2";153230040;286;423;275;803;402;294,7;282;"L4";1988-05-15;"medium"
"3";153230050;397;582;440;2094;1395;294,7;658;"L4";1988-05-15;"medium"
"4";154220070;330;535;364;1085;800;291,7;360;"L4";1988-05-15;"medium"
"5";154220080;241;335;232;485;298;293,9;208;"L4";1988-05-15;"medium"
"6";154230020;279;338;236;368;245;295,6;95;"L4";1988-05-15;"medium"
"7";153230040;490;508;377;1289;698;292,1;311;"L4";1989-06-03;"high"
"8";153230050;490;637;448;2244;1100;292,6;502;"L4";1989-06-03;"high"
"9";154220070;530;679;442;2055;729;290;196;"L4";1989-06-03;"high"
"10";154220080;489;605;383;1045;298;291,7;119;"L4";1989-06-03;"high"
"11";154230020;494;553;413;871;297;292,6;196;"L4";1989-06-03;"high"
"14";154220080;649;718;550;880;277;295,1;135;"L4";1992-07-13;"medium"
"16";153230040;550;552;482;1588;598;291,3;382;"L4";1992-07-29;"medium"
"17";153230050;570;594;589;2357;1051;291,7;546;"L4";1992-07-29;"medium"
"22";154220020;688;823;692;2714;1858;293,9;978;"L4";1992-08-30;"high"
"25";153210130;294;387;378;636;453;292,6;245;"L4";1988-05-15;"medium"
"26";153210200;370;469;344;1242;745;290,8;397;"L4";1988-05-15;"medium"
"27";153220050;344;517;352;839;560;291,7;206;"L4";1988-05-15;"medium"
"28";153220120;395;635;517;1080;904;293;587;"L4";1988-05-15;"medium"
"29";153220190;354;483;458;639;558;295,1;433;"L4";1988-05-15;"medium"
"30";153230040;261;364;259;759;374;294,3;282;"L4";1988-05-15;"medium"
"31";153230050;374;565;459;2184;1426;294,7;698;"L4";1988-05-15;"medium"
"32";153210100;675;706;502;1464;674;290;389;"L4";1989-06-03;"high"
"33";153220050;541;685;477;1152;420;290,4;151;"L4";1989-06-03;"high"
"34";153220120;557;665;539;1419;533;290,4;350;"L4";1989-06-03;"high"
"35";153220190;549;717;620;1415;510;292,6;234;"L4";1989-06-03;"high"
"36";153230040;474;465;378;1163;617;292,1;272;"L4";1989-06-03;"high"
"37";153230050;474;635;448;2449;1207;293;579;"L4";1989-06-03;"high"
"39";153220190;577;683;629;1218;667;296;376;"L4";1992-07-13;"medium"
"40";153220050;508;621;576;1114;540;291,3;300;"L4";1992-07-29;"medium"
"41";153230040;540;542;474;1539;566;291,3;381;"L4";1992-07-29;"medium"
"42";153230050;559;585;582;2394;1047;291,7;584;"L4";1992-07-29;"medium"
"46";153200140;318;536;355;884;323;292,6;143;"L4";1988-08-10;"medium"
"47";153210130;344;512;371;2022;985;293;473;"L4";1988-08-10;"medium"
"48";153220050;351;584;364;533;209;292,6;184;"L4";1988-08-10;"medium"
"49";153220120;275;460;366;1181;523;292,6;226;"L4";1988-08-10;"medium"
"50";154210040;290;371;254;446;238;293,4;102;"L4";1988-08-10;"medium"
"51";154210060;369;501;399;1673;845;292,1;393;"L4";1988-08-10;"medium"
"52";154220020;443;679;583;3204;2069;292,6;927;"L4";1988-08-10;"medium"
"53";154220070;327;354;277;1145;753;291,3;309;"L4";1988-08-10;"low"
"54";154220080;311;523;313;329;241;292,1;145;"L4";1988-08-10;"low"
"55";154230020;402;479;383;671;440;291,7;227;"L4";1988-08-10;"low"
"56";153200140;363;577;405;1358;480;293;117;"L4";1989-06-26;"high"
"57";153210110;642;818;636;2830;1227;292,6;574;"L4";1989-06-26;"high"
"58";153210130;542;616;436;1979;1008;293;421;"L4";1989-06-26;"high"
"60";153220120;670;817;641;2039;976;292,6;494;"L4";1989-06-26;"high"
"62";154210060;699;799;658;2197;1228;290,8;652;"L4";1989-06-26;"high"
"66";153200140;454;600;525;1445;562;290,8;207;"L4";1992-07-04;"medium"
"67";153210110;531;787;649;2587;1061;292,1;547;"L4";1992-07-04;"medium"
"68";153210130;424;552;520;1674;796;290,4;471;"L4";1992-07-04;"medium"
"69";153220050;404;641;529;1076;479;293,4;244;"L4";1992-07-04;"medium"
"70";153220190;504;722;661;1499;764;293,4;393;"L4";1992-07-04;"low"
"71";154210040;407;622;443;717;293;295,1;168;"L4";1992-07-04;"medium"
"72";154210060;590;790;751;2083;1250;288,6;702;"L4";1992-07-04;"medium"
"73";153210200;681;774;658;1411;824;285,4;449;"L4";1988-05-06;"high"
"74";153200140;327;541;360;755;296;292,6;101;"L4";1988-08-10;"medium"
"75";153210100;395;442;387;778;374;293;180;"L4";1988-08-10;"medium"
"76";153210130;313;490;352;2081;1018;293;475;"L4";1988-08-10;"medium"
"77";153210200;420;522;415;1768;812;291,7;433;"L4";1988-08-10;"medium"
"78";153200140;367;581;408;1278;453;293;118;"L4";1989-06-26;"high"
"79";153210110;683;846;662;2932;1277;292,6;613;"L4";1989-06-26;"high"
"80";153210130;591;653;469;2053;1113;293;459;"L4";1989-06-26;"high"
"81";153210200;573;698;506;1965;900;292,1;383;"L4";1989-06-26;"high"
"82";153200140;298;412;335;1141;366;291,3;165;"L4";1992-06-18;"medium"
"83";153210100;303;390;316;939;341;291,3;239;"L4";1992-06-18;"medium"
"84";153210110;356;584;446;2378;962;292,6;425;"L4";1992-06-18;"medium"
"85";153210130;340;507;415;1406;729;291,3;314;"L4";1992-06-18;"medium"
"86";153210200;351;513;452;1903;856;290,8;351;"L4";1992-06-18;"medium"
"87";153200140;455;600;493;1135;460;290,8;209;"L4";1992-07-04;"medium"
"88";153210100;409;501;410;1045;481;290,8;284;"L4";1992-07-04;"medium"
"89";153210110;538;819;677;2615;1122;292,1;590;"L4";1992-07-04;"medium"
"90";153210130;413;543;514;1689;828;290,4;474;"L4";1992-07-04;"medium"
"91";153210200;474;704;615;2042;1144;290,8;550;"L4";1992-07-04;"medium"
"92";153200140;453;717;517;1023;394;291,7;136;"L4";1992-07-20;"medium"
"93";153210130;532;658;541;1753;900;292,6;502;"L4";1992-07-20;"medium"
"94";153200140;335;481;424;1003;694;287,7;321;"L4";1988-05-13;"medium"
"95";154210040;291;423;310;532;353;290,4;245;"L4";1988-05-13;"low"
"96";154210060;359;548;513;1281;1426;291,3;698;"L4";1988-05-13;"low"
"97";152180080;521;675;585;829;667;293,4;592;"L4";1988-05-13;"medium"
"99";153150060;640;801;729;1665;1346;298,9;672;"L4";1992-07-09;"medium"
"100";153160050;410;459;341;759;214;296,4;91;"L4";1992-07-09;"medium"
"102";153170020;382;493;471;921;455;297,7;282;"L4";1992-07-09;"low"
"103";153170080;492;658;577;925;587;300,1;395;"L4";1992-07-09;"low"
"104";153170090;518;803;859;1270;533;296;357;"L4";1992-07-09;"low"
"105";153150060;529;709;617;1481;898;299,3;498;"L4";1992-07-25;"medium"
"106";153150140;419;452;367;3109;1118;296;377;"L4";1992-07-25;"medium"
"107";153150160;395;604;425;1134;308;295,6;175;"L4";1992-07-25;"medium"
"108";153160040;468;595;419;1390;535;296,4;257;"L4";1992-07-25;"medium"
"109";153160050;370;359;289;415;253;295,6;96;"L4";1992-07-25;"medium"
"110";153160060;514;686;423;1346;614;295,6;295;"L4";1992-07-25;"medium"
"111";153170020;629;723;666;1253;527;296,4;334;"L4";1992-07-25;"medium"
"112";153170080;502;605;597;1093;560;296,8;453;"L4";1992-07-25;"low"
"113";153170090;661;866;954;1294;611;293,9;334;"L4";1992-07-25;"medium"
"114";151160030;365;441;428;1144;606;296,4;280;"L4";1992-07-09;"low"
"115";152150060;476;628;519;2126;1035;298,5;472;"L4";1992-07-09;"medium"
"116";151160030;368;526;432;1201;578;297,2;292;"L4";1992-07-25;"medium"
"117";152150060;392;515;422;2051;970;300,1;533;"L4";1992-07-25;"medium"
"118";153160050;346;548;319;336;221;290,8;21;"L4";1988-08-22;"medium"
"119";154170050;448;732;584;1396;677;290;371;"L4";1988-08-22;"medium"
"120";153160050;489;480;367;552;236;287,3;67;"L4";1988-09-07;"medium"
"121";154160010;444;556;431;2551;1178;288,2;551;"L4";1988-09-07;"medium"
"124";154170050;663;869;851;1189;673;288,6;437;"L4";1990-04-22;"high"
"125";153160050;322;438;235;618;259;289,5;90;"L4";1990-06-25;"medium"
"126";154160010;396;584;422;2795;1034;290,8;571;"L4";1990-06-25;"medium"
"127";152150060;395;523;378;2379;1130;293,9;445;"L4";1988-08-22;"medium"
"128";153150160;290;374;253;566;340;290,4;108;"L4";1988-08-22;"low"
"129";153160040;322;513;366;569;282;291,3;66;"L4";1988-08-22;"medium"
"130";153160050;361;556;327;342;252;291,7;22;"L4";1988-08-22;"medium"
"131";153160060;293;389;338;793;371;291,3;152;"L4";1988-08-22;"low"
"132";153150060;402;504;430;767;933;290,4;497;"L4";1988-09-07;"medium"
"133";153160040;327;344;254;593;232;288,6;15;"L4";1988-09-07;"medium"
"134";153160060;666;652;468;1052;430;289,5;159;"L4";1988-09-07;"medium"
"135";152140030;671;678;492;795;276;283,1;132;"L4";1990-04-22;"high"
"137";153150160;550;572;443;525;115;283,6;41;"L4";1990-04-22;"high"
"138";152140030;261;398;228;699;260;290,4;52;"L4";1990-05-24;"medium"
"140";153150060;320;450;337;978;470;294,3;239;"L4";1990-05-24;"medium"
"141";153150140;297;488;336;3032;985;289,5;424;"L4";1990-05-24;"medium"
"144";152150060;328;619;388;2516;1036;296;425;"L4";1988-07-05;"low"
"145";152150060;376;465;365;1985;1043;293,9;359;"L4";1988-08-22;"medium"
"147";152140030;268;366;329;806;327;286,8;171;"L4";1988-05-09;"low"
"149";153230040;638;721;547;1374;725;288,3;288;"L5";1986-05-11;"high"
"150";153230050;662;772;549;1187;666;289,3;456;"L5";1986-05-11;"high"
"151";153230040;420;428;313;985;395;290,6;241;"L5";1986-05-27;"medium"
"152";153230050;440;511;350;1193;505;292,9;358;"L5";1986-05-27;"medium"
"153";153230040;455;530;402;1182;580;292;236;"L5";1986-06-12;"high"
"154";153230050;455;576;402;1318;608;292,9;360;"L5";1986-06-12;"high"
"155";153230040;567;600;362;902;415;292,4;213;"L5";1986-07-30;"high"
"156";153230050;614;649;489;1768;782;292,9;430;"L5";1986-07-30;"high"
"157";153230040;302;448;282;687;571;285,5;339;"L5";1989-05-03;"medium"
"158";153230050;322;489;354;1267;682;287,4;339;"L5";1989-05-03;"medium"
"159";153230050;386;544;447;1470;724;291,5;396;"L5";1989-05-19;"medium"
"160";153230040;244;294;234;923;352;293,8;131;"L5";1989-07-06;"medium"
"161";153230050;263;448;334;1561;621;295,1;284;"L5";1989-07-06;"medium"
"162";153230040;448;406;240;959;380;287,4;224;"L5";1989-08-07;"medium"
"163";153230050;490;581;431;1447;852;287,9;476;"L5";1989-08-07;"medium"
"166";153230040;252;252;112;563;312;286,9;217;"L5";1989-09-08;"medium"
"167";153230050;304;467;345;1263;771;287,4;266;"L5";1989-09-08;"medium"
"168";153230040;493;492;339;642;356;287,9;191;"L5";1989-09-24;"medium"
"169";153230050;525;622;504;1589;927;288,3;364;"L5";1989-09-24;"medium"
"170";153230050;609;745;659;1347;853;278,6;484;"L5";1992-05-11;"medium"
"171";153230040;361;484;316;1022;477;292;204;"L5";1992-06-28;"medium"
"172";153230050;425;655;521;1619;851;294,2;393;"L5";1992-06-28;"medium"
"174";153230050;694;879;694;1493;635;291,5;410;"L5";1992-07-14;"medium"
"175";153230040;363;425;296;1186;512;289,7;258;"L5";1992-07-30;"medium"
"176";153230050;409;519;445;1445;741;290,6;258;"L5";1992-07-30;"medium"
"177";153230040;638;646;532;1444;786;293,8;307;"L5";1992-08-31;"high"
"178";153230050;668;707;532;1114;575;294,7;157;"L5";1992-08-31;"high"
"179";153230040;396;464;369;1024;638;283,1;355;"L5";1994-06-02;"medium"
"180";153230050;417;592;437;1886;823;284,6;467;"L5";1994-06-02;"medium"
"185";153230040;308;276;274;329;81;277,1;190;"L5";1999-10-22;"low"
"186";153230050;521;535;610;1592;1290;276,6;700;"L5";1999-10-22;"low"
"187";153230040;312;434;245;826;371;292;166;"L5";2007-05-21;"medium"
"188";153230050;375;519;414;1385;692;293,3;432;"L5";2007-05-21;"medium"
"189";153230040;236;208;173;305;60;283,1;-23;"L5";2010-10-04;"low"
"190";153230050;268;208;173;245;60;282,6;33;"L5";2010-10-04;"low"
"191";153230040;206;185;119;540;237;286;134;"L5";2011-09-21;"medium"
"192";153230050;294;363;308;1976;1015;286,9;451;"L5";2011-09-21;"medium"
"201";154220020;670;757;546;988;206;287,4;114;"L5";1984-05-28;"high"
"204";153220120;276;387;305;1176;649;290,6;218;"L5";1984-07-31;"medium"
"205";153230040;193;288;253;1091;427;289,7;180;"L5";1984-07-31;"low"
"206";153230050;231;407;322;2103;924;290,6;414;"L5";1984-07-31;"low"
"207";154220020;379;636;522;3280;1550;291,5;737;"L5";1984-07-31;"medium"
"208";154220070;314;508;338;2093;820;289,7;339;"L5";1984-07-31;"medium"
"209";154220080;231;393;-46;475;175;289,7;59;"L5";1984-07-31;"medium"
"210";154230020;277;428;270;555;176;290,2;99;"L5";1984-07-31;"medium"
"211";154220080;673;792;632;820;404;286;218;"L5";1984-10-03;"medium"
"212";153220120;493;676;490;1319;801;283,6;415;"L5";1984-10-19;"medium"
"213";153230040;597;668;622;688;175;282,6;115;"L5";1984-10-19;"medium"
"214";153230050;675;832;761;1859;1575;283,1;863;"L5";1984-10-19;"medium"
"216";153220120;462;571;507;1269;714;292,4;407;"L5";1985-05-15;"medium"
"217";153230040;512;634;489;1015;713;292,4;366;"L5";1985-05-15;"medium"
"218";153230050;573;717;562;1681;1267;293,8;720;"L5";1985-05-15;"medium"
"219";154220020;548;829;695;3217;1843;292,4;928;"L5";1985-05-15;"medium"
"220";154220070;591;788;621;1573;970;288,3;449;"L5";1985-05-15;"medium"
"221";154220080;574;706;586;933;521;289,7;289;"L5";1985-05-15;"medium"
"222";154230020;540;696;543;671;518;291,1;327;"L5";1985-05-15;"medium"
"226";153220120;482;575;518;558;493;276,6;366;"L5";1986-04-16;"medium"
"227";153230040;399;423;347;395;344;278,6;195;"L5";1986-04-16;"low"
"228";153230050;502;557;540;1007;1238;280,7;960;"L5";1986-04-16;"low"
"230";154220070;664;748;626;798;497;276,6;325;"L5";1986-04-16;"low"
"232";154230020;425;471;350;310;196;278,1;153;"L5";1986-04-16;"low"
"233";153220120;306;411;357;481;319;286,9;340;"L5";1986-05-02;"low"
"234";153230040;279;444;349;657;461;286;261;"L5";1986-05-02;"low"
"235";153230050;335;562;522;1625;1042;288,3;734;"L5";1986-05-02;"low"
"236";154210040;286;398;310;391;348;282,1;303;"L5";1986-05-02;"medium"
"237";154210060;427;526;530;1242;1119;287,9;709;"L5";1986-05-02;"medium"
"238";154220020;454;708;615;2351;1844;288,3;1144;"L5";1986-05-02;"low"
"239";154220070;264;434;339;905;576;285;383;"L5";1986-05-02;"low"
"240";154220080;220;280;239;125;156;286;104;"L5";1986-05-02;"low"
"241";154230020;240;350;268;286;182;285,5;143;"L5";1986-05-02;"low"
"242";153220120;547;731;569;1350;759;292;389;"L5";1986-08-06;"medium"
"243";153230040;374;548;337;1214;582;292;183;"L5";1986-08-06;"medium"
"244";154220070;407;588;368;1704;674;291,5;308;"L5";1986-08-06;"medium"
"245";154220080;676;845;594;1267;761;290,6;433;"L5";1986-08-06;"medium"
"246";153220120;612;750;538;788;596;278,1;456;"L5";1986-10-25;"low"
"247";153230040;525;660;462;621;316;278,1;213;"L5";1986-10-25;"low"
"248";153230050;645;830;822;1597;1368;277,1;695;"L5";1986-10-25;"low"
"249";154210040;503;488;301;404;191;278,1;126;"L5";1986-10-25;"medium"
"250";154210060;371;493;467;860;1021;278,1;554;"L5";1986-10-25;"medium"
"251";154220020;675;962;862;2635;1949;278,1;1058;"L5";1986-10-25;"medium"
"252";154220070;405;579;459;939;717;278,1;379;"L5";1986-10-25;"medium"
"253";154220080;363;389;379;491;366;277,6;125;"L5";1986-10-25;"medium"
"254";154230020;620;499;396;381;39;277,6;134;"L5";1986-10-25;"low"
"256";153220120;421;583;566;557;542;276,1;442;"L5";1987-04-19;"low"
"257";153230040;540;595;536;646;454;275;315;"L5";1987-04-19;"low"
"258";153230050;540;724;725;1069;1177;278,1;936;"L5";1987-04-19;"low"
"259";154220020;661;883;906;1827;1971;278,6;1422;"L5";1987-04-19;"medium"
"260";154220080;597;724;648;560;251;276,6;234;"L5";1987-04-19;"low"
"263";153220120;554;623;554;1287;763;291,5;389;"L5";1987-06-22;"high"
"264";154230020;511;706;481;826;217;290,6;118;"L5";1987-06-22;"high"
"265";153230040;402;433;318;1031;533;293,3;204;"L5";1987-07-08;"medium"
"266";153230050;403;597;425;2675;1272;293,8;592;"L5";1987-07-08;"medium"
"267";154220020;518;781;580;3272;1846;291,5;995;"L5";1987-07-08;"high"
"268";154220080;415;507;343;950;341;291,5;204;"L5";1987-07-08;"high"
"269";154230020;380;512;387;865;315;292,4;165;"L5";1987-07-08;"medium"
"270";153220120;418;525;409;1150;478;291,5;290;"L5";1987-08-25;"medium"
"271";153230040;304;429;285;1006;448;292,4;245;"L5";1987-08-25;"medium"
"272";153230050;372;616;408;2435;1117;293,3;517;"L5";1987-08-25;"medium"
"273";154220020;526;717;574;2904;1925;292,4;993;"L5";1987-08-25;"high"
"274";154220070;344;439;332;1161;549;291,5;202;"L5";1987-08-25;"medium"
"275";154220080;311;447;256;679;228;292,9;65;"L5";1987-08-25;"medium"
"276";154230020;421;541;344;535;387;293,3;247;"L5";1987-08-25;"medium"
"277";153220120;307;446;231;955;459;286;172;"L5";1987-09-10;"medium"
"278";153230050;431;550;454;2528;1418;285;661;"L5";1987-09-10;"medium"
"279";154220020;562;852;761;3197;1894;285,5;871;"L5";1987-09-10;"medium"
"280";154230020;411;432;309;486;216;284,6;122;"L5";1987-09-10;"medium"
"281";153220120;474;539;425;918;446;284,1;254;"L5";1987-09-26;"medium"
"282";153230040;560;641;460;1031;363;283,6;137;"L5";1987-09-26;"medium"
"283";153230050;619;642;566;2282;1315;283,6;535;"L5";1987-09-26;"medium"
"284";154220020;535;751;605;2949;1786;284,1;833;"L5";1987-09-26;"medium"
"285";154220070;462;427;380;1168;609;283,6;198;"L5";1987-09-26;"medium"
"286";154220080;410;552;329;386;209;283,6;141;"L5";1987-09-26;"medium"
"287";154230020;480;483;429;623;287;283,6;140;"L5";1987-09-26;"medium"
"288";153220120;469;688;588;709;674;283,1;505;"L5";1987-10-12;"low"
"289";153230040;377;420;357;575;443;282,6;239;"L5";1987-10-12;"low"
"290";153230050;537;758;649;2180;1493;282,6;635;"L5";1987-10-12;"low"
"291";154220020;629;899;828;2850;2130;283,1;1185;"L5";1987-10-12;"low"
"292";154220070;437;574;428;995;635;282,6;310;"L5";1987-10-12;"low"
"293";154220080;411;441;371;519;311;281,6;177;"L5";1987-10-12;"low"
"294";154230020;396;501;368;381;355;282,6;109;"L5";1987-10-12;"low"
"297";154220070;677;732;467;1902;578;291,1;276;"L5";1988-06-08;"high"
"298";154220080;482;581;410;924;247;291,5;81;"L5";1988-06-08;"high"
"299";153220120;338;557;460;1566;749;293,3;332;"L5";1988-07-26;"medium"
"300";153230040;344;468;382;1114;747;292,4;447;"L5";1988-07-26;"low"
"301";153230050;327;468;347;2784;1372;292,9;525;"L5";1988-07-26;"low"
"302";154220020;363;620;407;3481;1843;293,8;730;"L5";1988-07-26;"medium"
"303";154220080;306;468;274;411;168;292,4;95;"L5";1988-07-26;"medium"
"304";154230020;301;569;332;711;283;292,9;176;"L5";1988-07-26;"medium"
"305";153220120;337;493;351;1373;683;291,1;229;"L5";1988-08-11;"medium"
"306";153230040;206;272;159;893;420;291,1;188;"L5";1988-08-11;"low"
"307";153230050;302;479;376;2431;1116;292;561;"L5";1988-08-11;"low"
"308";154220020;365;628;542;2914;1959;292;989;"L5";1988-08-11;"medium"
"309";154220070;297;391;261;1638;685;290,6;272;"L5";1988-08-11;"medium"
"310";154220080;307;482;266;421;70;292,4;64;"L5";1988-08-11;"low"
"311";154230020;243;313;230;204;333;290,6;147;"L5";1988-08-11;"low"
"314";154220020;603;873;710;3015;2015;285;1068;"L5";1988-09-28;"medium"
"315";154230020;456;569;397;702;338;283,1;326;"L5";1988-09-28;"medium"
"316";153220050;552;688;651;870;410;282,6;318;"L5";1988-10-14;"low"
"317";153220120;547;756;711;1082;889;283,1;456;"L5";1988-10-14;"low"
"318";153230040;369;371;375;668;553;283,1;249;"L5";1988-10-14;"low"
"319";153230050;500;715;613;2115;1589;282,6;658;"L5";1988-10-14;"low"
"320";154220020;644;921;913;2889;2401;284,1;1160;"L5";1988-10-14;"low"
"321";154220070;487;662;563;1383;753;282,6;530;"L5";1988-10-14;"low"
"322";154220080;460;455;323;467;322;282,6;252;"L5";1988-10-14;"low"
"323";154230020;439;443;377;394;272;282,6;182;"L5";1988-10-14;"low"
"324";154220020;494;730;511;3550;1942;282,6;937;"L5";1989-04-24;"medium"
"325";153220120;467;572;423;973;465;286,9;451;"L5";1989-05-10;"high"
"326";153230040;373;490;355;897;328;286,9;211;"L5";1989-05-10;"medium"
"327";153230050;471;617;465;2076;1225;288,3;608;"L5";1989-05-10;"medium"
"328";154220020;558;789;609;3432;1534;289,3;782;"L5";1989-05-10;"high"
"329";154220070;604;745;569;1331;610;285,5;372;"L5";1989-05-10;"high"
"330";154220080;443;539;392;847;323;285,5;128;"L5";1989-05-10;"high"
"331";154230020;326;429;338;420;270;286,5;129;"L5";1989-05-10;"medium"
"332";153220120;545;764;604;1774;776;293,3;512;"L5";1989-05-26;"high"
"333";154220070;443;632;417;1812;641;290,6;241;"L5";1989-05-26;"high"
"334";154220080;418;557;387;1025;395;293,3;163;"L5";1989-05-26;"medium"
"335";154230020;475;615;439;892;364;293,3;162;"L5";1989-05-26;"high"
"336";154230020;423;481;367;663;354;288,3;232;"L5";1989-06-11;"medium"
"337";153220050;386;459;379;664;164;291,1;82;"L5";1989-06-27;"high"
"338";153220120;344;526;402;1454;710;291,5;390;"L5";1989-06-27;"high"
"339";154220020;481;743;484;4299;1979;292,9;850;"L5";1989-06-27;"medium"
"340";154220070;322;415;235;1255;420;290,2;164;"L5";1989-06-27;"medium"
"341";154220080;448;461;343;1009;362;291,1;124;"L5";1989-06-27;"medium"
"342";154230020;338;494;338;760;307;291,5;161;"L5";1989-06-27;"medium"
"343";154220020;495;779;616;3149;1897;294,7;886;"L5";1989-07-13;"high"
"347";154220070;549;751;448;1607;744;289,3;251;"L5";1989-07-29;"high"
"350";153220050;532;578;507;740;594;279,7;385;"L5";1989-10-01;"low"
"351";153220120;371;524;459;859;554;282,1;385;"L5";1989-10-01;"low"
"352";154210060;560;597;637;1427;1023;275,6;573;"L5";1989-10-01;"medium"
"353";154230020;279;301;266;392;272;281,1;154;"L5";1989-10-01;"low"
"354";153220050;555;620;602;756;508;279,7;470;"L5";1990-04-11;"medium"
"355";153220120;511;571;518;803;571;281,1;289;"L5";1990-04-11;"medium"
"356";153230040;411;386;315;427;412;281,1;199;"L5";1990-04-11;"medium"
"357";153230050;506;681;571;1273;1134;283,1;871;"L5";1990-04-11;"medium"
"358";154220020;640;765;685;2543;1859;283,1;1070;"L5";1990-04-11;"medium"
"359";154220070;626;685;614;763;543;280,2;382;"L5";1990-04-11;"medium"
"360";154230020;443;507;419;439;196;281,6;111;"L5";1990-04-11;"medium"
"361";153230040;635;673;457;1243;506;289,7;361;"L5";1990-06-30;"high"
"362";153230050;636;758;567;2389;1285;289,7;559;"L5";1990-06-30;"high"
"363";154220020;509;782;508;3991;1716;286,5;796;"L5";1990-06-30;"high"
"364";154220070;649;862;528;2017;703;288,3;362;"L5";1990-06-30;"high"
"365";154220080;539;724;448;1286;382;289,3;157;"L5";1990-06-30;"high"
"366";154230020;621;791;521;1114;280;289,7;123;"L5";1990-06-30;"high"
"367";153230040;618;644;426;1107;458;292;187;"L5";1990-08-17;"high"
"368";153230050;595;697;518;2759;1317;292,4;515;"L5";1990-08-17;"high"
"370";153220050;431;501;402;808;493;284,1;238;"L5";1990-09-18;"medium"
"371";153220190;486;596;583;856;638;283,1;343;"L5";1990-09-18;"medium"
"372";153230040;565;575;518;850;302;281,6;128;"L5";1990-09-18;"medium"
"373";154220070;326;445;303;925;572;284,6;239;"L5";1990-09-18;"medium"
"374";154230020;417;491;346;638;493;284,1;237;"L5";1990-09-18;"medium"
"375";153220120;488;659;523;1158;671;282,6;218;"L5";1990-10-04;"medium"
"378";153230040;640;680;489;628;437;285;376;"L5";1991-04-14;"high"
"379";153230050;666;784;666;1223;1211;287,9;834;"L5";1991-04-14;"high"
"383";153220120;439;640;493;1989;687;286,9;391;"L5";1991-06-01;"medium"
"384";154230020;473;621;443;694;366;286;239;"L5";1991-06-01;"medium"
"385";154220070;509;706;489;1678;735;287,9;325;"L5";1991-07-03;"medium"
"386";154220080;477;586;420;1046;318;287,9;246;"L5";1991-07-03;"medium"
"387";153230040;397;513;382;1261;363;288,3;213;"L5";1991-07-19;"low"
"388";153230050;486;627;583;2676;1143;288,3;480;"L5";1991-07-19;"low"
"389";154230020;400;554;383;629;229;288,8;137;"L5";1991-07-19;"low"
"390";154220070;524;604;453;1270;402;292,4;264;"L5";1991-08-04;"high"
"391";154220080;496;673;513;1043;464;293,3;180;"L5";1991-08-04;"medium"
"392";153220050;623;775;672;931;514;284,1;294;"L5";1991-10-07;"medium"
"393";153220120;531;708;615;1553;696;284,1;360;"L5";1991-10-07;"medium"
"394";153230040;350;419;309;926;420;284,1;161;"L5";1991-10-07;"medium"
"395";153230050;417;559;489;1754;1012;284,6;554;"L5";1991-10-07;"medium"
"396";154220020;679;912;789;3196;2240;284,6;966;"L5";1991-10-07;"medium"
"397";154220070;614;649;562;1782;1028;284,6;430;"L5";1991-10-07;"medium"
"398";154220080;508;717;559;730;380;285;230;"L5";1991-10-07;"medium"
"399";154230020;493;566;493;514;286;282,6;162;"L5";1991-10-07;"medium"
"402";154220020;649;954;825;2545;1470;281,6;789;"L5";1992-05-18;"medium"
"403";153220120;597;668;601;1127;362;291,1;199;"L5";1992-06-03;"medium"
"404";154220020;519;775;617;4032;1854;293,8;955;"L5";1992-06-03;"medium"
"405";154220070;404;610;451;1606;686;291,1;276;"L5";1992-06-03;"medium"
"406";154220080;354;532;389;896;316;291,5;128;"L5";1992-06-03;"medium"
"407";154230020;374;561;413;773;366;292;201;"L5";1992-06-03;"medium"
"408";154220070;583;675;467;815;340;290,6;202;"L5";1992-06-19;"medium"
"409";154230020;514;686;514;1413;501;291,1;277;"L5";1992-06-19;"medium"
"410";153220120;409;641;512;1724;796;292;392;"L5";1992-07-05;"medium"
"411";153230040;352;519;348;1177;531;291,1;205;"L5";1992-07-05;"medium"
"412";153230050;435;602;548;2293;1160;292,4;577;"L5";1992-07-05;"medium"
"413";154220020;448;714;602;3852;2157;293,8;999;"L5";1992-07-05;"medium"
"414";154220070;490;708;566;1721;823;292,9;430;"L5";1992-07-05;"low"
"415";154220080;412;503;435;723;325;293,3;170;"L5";1992-07-05;"low"
"416";154230020;381;566;420;753;454;291,5;242;"L5";1992-07-05;"low"
"417";153220120;568;713;565;1924;894;293,8;252;"L5";1992-07-21;"medium"
"418";153230040;450;543;360;1116;583;293,8;253;"L5";1992-07-21;"medium"
"419";153230050;471;632;502;2286;1199;295,1;690;"L5";1992-07-21;"medium"
"420";154220020;527;842;665;3432;1897;294,7;820;"L5";1992-07-21;"medium"
"421";154220070;403;614;453;1501;840;293,8;335;"L5";1992-07-21;"medium"
"422";154220080;385;527;348;709;337;296,4;176;"L5";1992-07-21;"medium"
"423";154230020;443;598;442;533;334;293,3;253;"L5";1992-07-21;"medium"
"424";153220050;468;594;468;1093;381;292,4;224;"L5";1992-08-06;"medium"
"425";153220120;465;653;516;1878;879;293,3;266;"L5";1992-08-06;"medium"
"426";153230040;382;398;315;1177;557;292,9;226;"L5";1992-08-06;"medium"
