"oid";"SR_B1";"SR_B2";"SR_B3";"SR_B4";"SR_B5";"SR_B6";"SR_B7";"ST_B10";"date"
154220070;0,0135925;0,01868;0,02847;0,01054;0,0088625;0,0055625;0,00396749999999998;293,37374678;2014-08-19
154220080;0,011035;0,0233275;0,03837;0,0159575;0,02737;0,00955;0,00702;293,069543;2014-08-19
153230050;0,0157375;0,01648;0,0209075;0,00770750000000001;0,0048475;0,00429750000000001;0,00514999999999999;290,17789808;2014-09-04
154220020;0,00743250000000001;0,00811999999999999;0,014115;0,00314249999999999;0,00660749999999999;0,00514999999999999;0,0055625;291,0016409;2014-09-04
153220050;0,0171675;0,021155;0,0385625;0,0231625;0,0218425;0,00977;0,00666249999999999;291,31268072;2014-09-20
153230040;0,0279475;0,0343275;0,049425;0,040185;0,10107;0,068455;0,0573175;289,3439012;2014-09-20
153230050;0,0282775;0,0329525;0,045025;0,0354;0,08369;0,058775;0,0458775;288,90639464;2014-09-20
154220020;0,00465499999999999;0,00883500000000001;0,02;0,009715;0,0130425;0,00732250000000001;0,00341749999999999;292,1295875;2014-09-20
154220070;0,0125475;0,018295;0,03133;0,015655;0,0208525;0,00952249999999999;0,006415;290,89226426;2014-09-20
154220080;0,012135;0,0178275;0,0298725;0,0156825;0,030065;0,01131;0,00592000000000001;290,61882266;2014-09-20
154230020;0,00278500000000001;0,0084775;0,02;0,01021;0,0220075;0,00908249999999999;0,00520499999999999;289,30288496;2014-09-20
153220050;0,004105;0,0114475;0,0297625;0,0179925;0,0082025;0,0058375;0,0053425;285,91904516;2015-05-02
153220190;0,0110625;0,03166;0,0627075;0,059875;0,120595;0,1004925;0,078135;285,27303938;2015-05-02
153220120;0,0229425;0,0220625;0,0260775;0,0154075;0,0174425;0,00600249999999999;0,00383;295,45190294;2015-06-03
153220050;0,0172225;0,02561;0,0618;0,035345;0,0266275;0,0122175;0,00913749999999999;303,05699744;2015-07-05
153220120;0,02506;0,0264625;0,0332275;0,02275;0,052945;0,0147475;0,00784499999999999;303,46374182;2015-07-05
153220190;0,00833999999999999;0,0221725;0,059655;0,0326225;0,04629;0,011695;0,00795499999999999;304,3660991;2015-07-05
153230040;0,0201925;0,0284425;0,041945;0,0200275;0,0357025;0,0183775;0,012905;300,00470558;2015-07-05
154220020;0,0339975;0,0368575;0,0724425;0,0510475;0,148755;0,0685925;0,0414775;302,9988911;2015-07-05
154220070;0,02308;0,04332;0,0824525;0,0398275;0,0639175;0,0248125;0,0146375;300,5379167;2015-07-05
154230020;0,0231075;0,0354825;0,0654575;0,03584;0,0582525;0,03287;0,0235475;296,28589982;2015-07-05
153220050;0,00256499999999998;0,00671749999999999;0,0237125;0,0111725;0,00498499999999999;0,00341749999999999;0,00295000000000001;295,87915544;2015-07-21
153220120;0,0173325;0,01978;0,032925;0,019505;0,035675;0,01219;0,0058375;295,45190294;2015-07-21
153220190;0,00206999999999999;0,01901;0,054045;0,031715;0,0602325;0,020715;0,0132075;293,65402442;2015-07-21
153230040;0,0201925;0,0288825;0,0428525;0,015655;0,00946749999999999;0,00487499999999999;0,00347249999999999;294,61107002;2015-07-21
153230050;0,0161225;0,0207425;0,0260225;0,011585;0,0079275;0,003775;0,00416;295,02123242;2015-07-21
154220080;0,00476499999999999;0,00996249999999999;0,02264;0,0019875;0,00407749999999998;0,00391249999999999;0,00413249999999998;294,13938326;2015-07-21
153220120;0,0149125;0,023905;0,049755;0,0316875;0,0561625;0,0319625;0,0176625;297,07204442;2015-08-06
153220190;0,014555;0,027645;0,063285;0,0397175;0,0715075;0,0377925;0,02231;296,81569292;2015-08-06
153230040;0,0189825;0,025995;0,037435;0,01945;0,0288;0,01296;0,0081475;300,83870246;2015-08-06
153230050;0,02286;0,0276175;0,0352625;0,0209625;0,033145;0,011695;0,00811999999999999;302,4520079;2015-08-06
154220070;0,0262975;0,0441725;0,0798125;0,034795;0,0364725;0,014115;0,0082575;300,67805552;2015-08-06
154220080;0,012575;0,0216775;0,038205;0,0189825;0,03793;0,0162325;0,00966;301,70346152;2015-08-06
154230020;0,0199725;0,0303675;0,0541;0,027645;0,0346025;0,0167;0,0112;300,37385174;2015-08-06
153220190;0,00086;0,01263;0,0394425;0,0222825;0,0210725;0,0199175;0,0104575;297,46853474;2015-08-22
154220080;0,0143075;0,0185425;0,028195;0,0126025;0,018075;0,0116675;0,00770750000000001;297,60867356;2015-08-22
154230020;0,013785;0,0193125;0,02671;0,0130425;0,015435;0,0078725;0,00514999999999999;297,0344462;2015-08-22
153220120;0,028305;0,0365825;0,0544025;0,0509925;0,065815;0,0578125;0,0507175;274,41740786;2016-04-02
153220190;0,00963249999999999;0,02242;0,042165;0,039965;0,057455;0,054155;0,0467575;276,07172954;2016-04-02
153230040;0,0545675;0,06565;0,089465;0,090675;0,1639625;0,16399;0,1212275;275,46674;2016-04-02
153230050;0,028195;0,030175;0,0367475;0,0301475;0,0429625;0,0385625;0,032595;278,97362852;2016-04-02
154220070;0,0131525;0,0237125;0,0425225;0,03793;0,0545675;0,0541275;0,0456025;276,9364886;2016-04-02
154220080;0,0080375;0,016315;0,0270125;0,025115;0,0394975;0,044365;0,0369125;279,37353686;2016-04-02
154230020;0,0154075;0,016425;0,0175525;0,0110625;0,00922000000000001;0,00850499999999998;0,00660749999999999;279,31884854;2016-04-02
153220050;0,0086425;0,0143075;0,03474;0,0170575;0,00693749999999999;0,00531499999999999;0,0049025;289,86002222;2016-05-04
154220020;0,011255;0,0139775;0,0206325;0,0117225;0,013235;0,010045;0,00919249999999999;290,01383312;2016-05-04
154230020;0,0050675;0,00817499999999999;0,0141425;0,00347249999999999;0,0020975;0,00396749999999998;0,003445;290,32145492;2016-05-04
153220050;0,0233;0,0316875;0,0563;0,036995;0,03452;0,0166725;0,0124375;290,19498818;2016-05-20
154220070;0,0102375;0,0164525;0,02836;0,013895;0,03298;0,0194775;0,0141425;290,00357906;2016-05-20
154220080;0,0146375;0,015875;0,02132;0,0108425;0,019505;0,00905500000000001;0,00647;290,29752878;2016-05-20
154230020;0,0183225;0,020385;0,02891;0,015875;0,019175;0,0100175;0,007185;290,05826738;2016-05-20
153220050;0,00671749999999999;0,0181575;0,060315;0,0326225;0,0162875;0,0157925;0,01439;297,24978146;2016-06-05
153220190;0,01208;0,017855;0,0374625;0,02088;0,0203025;0,010815;0,00795499999999999;297,81375476;2016-06-05
153230040;0,0114475;0,015985;0,0239875;0,00996249999999999;0,0110075;0,00558999999999998;0,00336249999999999;295,40405066;2016-06-05
153230050;0,0104025;0,0129325;0,0160675;0,0080375;0,0130425;0,00597500000000001;0,00363749999999999;296,29615388;2016-06-05
154220020;0,010925;0,012575;0,021155;0,01208;0,00996249999999999;0,00630500000000001;0,00311500000000001;295,73218058;2016-06-05
154220070;0,0243725;0,0277825;0,036445;0,0199725;0,02319;0,015655;0,01208;295,79370494;2016-06-05
154230020;0,012245;0,020165;0,04343;0,0190375;0,0115025;0,00636;0,00405;296,85329114;2016-06-05
153220050;0,0107325;0,0134;0,031495;0,0168925;0,00955;0,00459999999999999;0,00396749999999998;297,000266;2016-08-08
153220120;0,00157499999999999;0,007185;0,026985;0,012905;0,0130425;0,0055625;0,00336249999999999;296,60035766;2016-08-08
153220190;0,00850499999999998;0,0223925;0,05542;0,02858;0,0199725;0,0119975;0,00553499999999998;297,55740326;2016-08-08
153230040;0,00462750000000001;0,0158475;0,032705;0,012135;0,02143;0,01384;0,0103475;293,10030518;2016-08-08
153230050;0,01483;0,0207425;0,0285525;0,016205;0,0272325;0,01835;0,012135;293,26095212;2016-08-08
154220020;0,0190375;0,021595;0,03232;0,0176625;0,010485;0,00605749999999999;0,00284000000000001;296,47730894;2016-08-08
154220070;0,01934;0,026655;0,044915;0,02077;0,01263;0,0078725;0,0054525;295,96118792;2016-08-08
154220080;0,00325249999999999;0,00666249999999999;0,01604;0,003335;0,010155;0,00531499999999999;0,00361;296,10474476;2016-08-08
154230020;0,009715;0,0127675;0,0173325;0,00800999999999999;0,0111725;0,0048475;0,0026475;296,54566934;2016-08-08
153220050;0,00776250000000001;0,0135925;0,0337775;0,01945;0,01428;0,00569999999999998;0,00361;295,45532096;2016-09-09
153220120;0,02286;0,02374;0,0310825;0,0189;0,0204125;0,00633249999999999;0,00358249999999999;294,90501974;2016-09-09
153220190;0,0108975;0,016975;0,0369125;0,0202475;0,0269575;0,0081475;0,0053425;295,7355986;2016-09-09
153230040;0,0129875;0,01516;0,0192575;0,00883500000000001;0,009825;0,00380249999999999;0,0023175;295,2228956;2016-09-09
153230050;0,0160125;0,0162875;0,0163425;0,0086425;0,0117775;0,00339;0,0018775;295,69458236;2016-09-09
154220020;0,01714;0,0171125;0,022145;0,0115575;0,01131;0,0057275;0,00369249999999999;294,99388826;2016-09-09
154220070;0,003775;0,0121075;0,0328975;0,01285;0,0056725;0,00459999999999999;0,00292249999999999;295,67407424;2016-09-09
154220080;0,0125475;0,0155175;0,0203025;0,0080925;0,0136475;0,006855;0,00383;295,45532096;2016-09-09
154230020;0,0100175;0,0134825;0,01824;0,0083675;0,00866999999999998;0,00380249999999999;0,00195999999999999;295,52368136;2016-09-09
153220120;0,01538;0,0232175;0,0365275;0,03001;0,0508825;0,0301475;0,024675;288,39710966;2017-05-23
