"oid";"B1";"B2";"B3";"B4";"B5";"B6";"B7";"B10";"B11";"date"
153230050;0,136841639876366;0,10934441536665;0,0716700032353401;0,0479321666061878;0,0415680631995201;0,0167292654514313;0,00848547089844942;287,437835693359;286,433654785156;2015-04-25
153220190;0,1245948523283;0,0987003669142723;0,0720142424106598;0,046681571751833;0,0406803861260414;0,0125131132081151;0,00707373954355717;292,840637207031;290,975006103516;2013-07-31
153230040;0,136980280280113;0,117904171347618;0,094103716313839;0,0562068596482277;0,048954363912344;0,0161648988723755;0,0111851906403899;291,190612792969;289,032928466797;2013-07-31
154220020;0,124416090548038;0,0965041890740395;0,0626166388392448;0,0403739400207996;0,0300059337168932;0,00939760357141495;0,00492863403633237;292,576080322266;290,989715576172;2013-07-31
154220080;0,121990084648132;0,0959679111838341;0,06460852175951;0,0392758511006832;0,0310784857720137;0,0119512993842363;0,00699712848290801;291,471099853516;289,795501708984;2013-07-31
153230040;0,128571331501007;0,10733337700367;0,0822562500834465;0,0455799251794815;0,0282083656638861;0,00838627107441425;0,00490106735378504;291,071624755859;289,396911621094;2013-08-16
153230050;0,126992106437683;0,102867960929871;0,0764566510915756;0,0437556393444538;0,0224632248282433;0,00825013034045696;0,00514612067490816;291,2841796875;289,6171875;2013-08-16
154220020;0,134643211960793;0,104120455682278;0,0678525567054749;0,0425031445920467;0,0267108175903559;0,0069976351223886;0,00588128063827753;291,2841796875;289,869720458984;2013-08-16
154220070;0,128489643335342;0,103521436452866;0,0762932822108269;0,0440551489591599;0,0300054233521223;0,0108640324324369;0,00574513990432024;291,205780029297;289,694488525391;2013-08-16
154220080;0,122907876968384;0,095734179019928;0,0632509961724281;0,0374931655824184;0,0309311803430319;0,0108368042856455;0,00626247469335794;290,858642578125;289,840026855469;2013-08-16
154230020;0,121410325169563;0,0957069545984268;0,0643401220440865;0,0383644662797451;0,0253494083881378;0,00716100400313735;0,00397531036287546;291,337249755859;289,697448730469;2013-08-16
154220020;0,126537039875984;0,0973614081740379;0,0593645311892033;0,0379074700176716;0,0267021171748638;0,0128742353990674;0,00703314691781998;288,007293701172;287,342437744141;2013-09-01
154220070;0,142689436674118;0,121381387114525;0,0976892188191414;0,0588281042873859;0,0408280156552792;0,0224405080080032;0,0157947801053524;287,782989501953;286,7109375;2013-09-01
154230020;0,12358669936657;0,0944110602140427;0,056414183229208;0,0358511693775654;0,0272385440766811;0,0108179338276386;0,00721195572987199;288,731719970703;286,473297119141;2013-09-01
153220190;0,145410597324371;0,115993648767471;0,0772015452384949;0,0523286797106266;0,0415185503661633;0,0252076908946037;0,0199939552694559;279,404602050781;279,09130859375;2013-10-19
153230040;0,132591500878334;0,102122239768505;0,0608906857669353;0,0380267836153507;0,0268818270415068;0,0122929345816374;0,0077010216191411;279,794586181641;279,525238037109;2013-10-19
153230050;0,130008548498154;0,101069927215576;0,0597427077591419;0,0365439765155315;0,0235813893377781;0,0137279080227017;0,0086576696485281;279,661956787109;279,146453857422;2013-10-19
154220080;0,128956228494644;0,0986304730176926;0,0574467480182648;0,0338175296783447;0,0214767623692751;0,00904032960534096;0,00593122141435742;280,634368896484;280,436401367188;2013-10-19
154230020;0,126947268843651;0,0971954986453056;0,0561074428260326;0,033243540674448;0,0181763246655464;0,00554856192320585;0,00339610269293189;281,111511230469;280,580627441406;2013-10-19
154220020;0,131787165999413;0,104951873421669;0,0722062885761261;0,0526897124946117;0,0664971843361855;0,031613826751709;0,0221824944019318;281,990112304688;281,015441894531;2014-05-15
153220190;0,119794487953186;0,0951565876603127;0,0695729479193687;0,0462688021361828;0,0440135598182678;0,0182844214141369;0,0128039447590709;289,510406494141;287,614715576172;2014-05-31
153230040;0,130246192216873;0,105923548340797;0,0742531791329384;0,0470447987318039;0,0445713102817535;0,0215096566826105;0,0157381817698479;286,694030761719;284,508911132812;2014-05-31
153230050;0,126535952091217;0,101122066378593;0,0676814615726471;0,0446925573050976;0,0445955581963062;0,0177509244531393;0,0132889430969954;287,947357177734;285,699310302734;2014-05-31
153220120;0,124337218701839;0,0954232513904572;0,0632328540086746;0,040034718811512;0,0273833647370338;0,0120534636080265;0,00607456313446164;288,829986572266;287,557281494141;2014-06-16
154220020;0,118119157850742;0,0903053134679794;0,0560581721365452;0,0341275632381439;0,0240112654864788;0,00808347389101982;0,00483095180243254;289,345855712891;288,166473388672;2014-06-16
154220070;0,122950114309788;0,0981257185339928;0,0716033130884171;0,0397238172590733;0,0325252190232277;0,00789214856922626;0,00449613342061639;288,508941650391;287,418151855469;2014-06-16
153230040;0,136933594942093;0,123074218630791;0,109262958168983;0,0559187643229961;0,0244945362210274;0,0075071663595736;0,00442730309441686;290,140625;288,424926757812;2014-07-02
153230050;0,128488034009933;0,104426607489586;0,0745423138141632;0,0444655232131481;0,0242298599332571;0,0140518750995398;0,011116380803287;290,324401855469;288,733795166016;2014-07-02
154220070;0,123050153255463;0,0974487960338593;0,0683825835585594;0,0387389026582241;0,0273578464984894;0,0081808865070343;0,00493259308859706;288,690307617188;287,578430175781;2014-07-02
153230040;0,125033378601074;0,103491216897964;0,079580157995224;0,0459714196622372;0,0536456629633904;0,0164835806936026;0,00836517009884119;292,406036376953;290,668609619141;2014-07-18
153230050;0,13006728887558;0,107143267989159;0,0810113698244095;0,0526586212217808;0,081307478249073;0,0369399972259998;0,021443460136652;292,661010742188;290,568298339844;2014-07-18
154220070;0,142454653978348;0,11802539229393;0,0909804776310921;0,0567548424005508;0,07158512622118;0,0218382757157087;0,0122393043711782;291,904357910156;290,565338134766;2014-07-18
153220050;0,126638278365135;0,104688331484795;0,0854498520493507;0,0536095164716244;0,0321760401129723;0,0113881481811404;0,00748880486935377;297,248870849609;296,189758300781;2014-08-03
153220120;0,120208233594894;0,0971478819847107;0,0752237588167191;0,0513112284243107;0,0436933040618896;0,0138672012835741;0,00800527445971966;297,044799804688;295,889617919922;2014-08-03
153220190;0,121964231133461;0,100298337638378;0,0855531394481659;0,0554171577095985;0,0490645840764046;0,0142287295311689;0,0072822174988687;297,887573242188;296,765502929688;2014-08-03
153230040;0,119640119373798;0,0977418199181557;0,0715051740407944;0,0403620786964893;0,0297744553536177;0,00989038776606321;0,00583610311150551;297,811218261719;296,534362792969;2014-08-03
153230050;0,119020350277424;0,0975352302193642;0,0708337649703026;0,0417565442621708;0,0299552194774151;0,0094772120937705;0,0065849837847054;298,491973876953;297,23779296875;2014-08-03
154220020;0,122351579368114;0,097173698246479;0,0668053030967712;0,0430735424160957;0,0358687937259674;0,0110007962211967;0,00730804074555635;297,598571777344;296,367828369141;2014-08-03
154220070;0,125605344772339;0,102493338286877;0,0773154571652412;0,045139417052269;0,0403620786964893;0,0140996119007468;0,00813439209014177;296,681396484375;295,824401855469;2014-08-03
154220080;0,122919693589211;0,0983099341392517;0,0685354769229889;0,0428411290049553;0,0483415275812149;0,0156231969594955;0,00828933250159025;297,18408203125;296,031280517578;2014-08-03
154230020;0,124778985977173;0,105049856007099;0,0858630239963531;0,051750224083662;0,0354039706289768;0,0110266199335456;0,0063525727018714;297,574645996094;296,379119873047;2014-08-03
